pre-harvest_total,adult_prop,yearling_prop,fawn_prop,f:m_ratio,lambda
41166,0.42,0.23,0.35,1.4,0.974
40614,0.41,0.23,0.36,1.42,0.987
43886,0.43,0.21,0.36,1.51,1.081
47757,0.42,0.21,0.37,1.52,1.088
50404,0.41,0.22,0.37,1.54,1.055
52415,0.41,0.23,0.36,1.53,1.04
54306,0.41,0.23,0.36,1.51,1.036
55555,0.41,0.23,0.36,1.51,1.023
56204,0.4,0.24,0.36,1.5,1.012
56502,0.4,0.23,0.36,1.48,1.005
56451,0.4,0.24,0.36,1.45,0.999
56536,0.4,0.24,0.36,1.44,1.002
56504,0.41,0.23,0.36,1.44,0.999
